"No.","Time","Source","Destination","Protocol","Length","Info","TLS server name","Flags"
"53","0.305385","10.100.102.162","185.15.59.224","TCP","54","58383  >  443 [ACK] Seq=3354 Ack=33474 Win=65280 Len=0","","0x010"
"54","0.310357","185.15.59.224","10.100.102.162","TCP","1506","443  >  58383 [ACK] Seq=33474 Ack=2526 Win=42496 Len=1452 [TCP PDU reassembled in 55]","","0x010"
"55","0.310357","185.15.59.224","10.100.102.162","TLSv1.3","1506","Application Data","","0x018"
"56","0.310396","10.100.102.162","185.15.59.224","TCP","54","58383  >  443 [ACK] Seq=3354 Ack=36378 Win=65280 Len=0","","0x010"
"57","0.315333","185.15.59.224","10.100.102.162","TCP","1506","443  >  58383 [ACK] Seq=36378 Ack=2526 Win=42496 Len=1452 [TCP PDU reassembled in 73]","","0x010"
"58","0.315333","185.15.59.224","10.100.102.162","TCP","1506","443  >  58383 [PSH, ACK] Seq=37830 Ack=2526 Win=42496 Len=1452 [TCP PDU reassembled in 73]","","0x018"
"59","0.315433","10.100.102.162","185.15.59.224","TCP","54","58383  >  443 [ACK] Seq=3354 Ack=39282 Win=65280 Len=0","","0x010"
"60","0.319811","185.15.59.224","10.100.102.162","TCP","1506","443  >  58383 [ACK] Seq=39282 Ack=2526 Win=42496 Len=1452 [TCP PDU reassembled in 73]","","0x010"
"61","0.319811","185.15.59.224","10.100.102.162","TCP","1506","443  >  58383 [PSH, ACK] Seq=40734 Ack=2526 Win=42496 Len=1452 [TCP PDU reassembled in 73]","","0x018"
"62","0.319863","10.100.102.162","185.15.59.224","TCP","54","58383  >  443 [ACK] Seq=3354 Ack=42186 Win=65280 Len=0","","0x010"
"63","0.324574","185.15.59.224","10.100.102.162","TCP","1506","443  >  58383 [ACK] Seq=42186 Ack=2526 Win=42496 Len=1452 [TCP PDU reassembled in 73]","","0x010"
"64","0.324574","185.15.59.224","10.100.102.162","TCP","1506","443  >  58383 [PSH, ACK] Seq=43638 Ack=2526 Win=42496 Len=1452 [TCP PDU reassembled in 73]","","0x018"
"65","0.324637","10.100.102.162","185.15.59.224","TCP","54","58383  >  443 [ACK] Seq=3354 Ack=45090 Win=65280 Len=0","","0x010"
"66","0.328713","185.15.59.224","10.100.102.162","TCP","1506","443  >  58383 [ACK] Seq=45090 Ack=2526 Win=42496 Len=1452 [TCP PDU reassembled in 73]","","0x010"
"67","0.328713","185.15.59.224","10.100.102.162","TCP","1506","443  >  58383 [PSH, ACK] Seq=46542 Ack=2526 Win=42496 Len=1452 [TCP PDU reassembled in 73]","","0x018"
"68","0.328763","10.100.102.162","185.15.59.224","TCP","54","58383  >  443 [ACK] Seq=3354 Ack=47994 Win=65280 Len=0","","0x010"
"69","0.332971","185.15.59.224","10.100.102.162","TCP","1506","443  >  58383 [ACK] Seq=47994 Ack=2526 Win=42496 Len=1452 [TCP PDU reassembled in 73]","","0x010"
"70","0.333033","10.100.102.162","185.15.59.224","TCP","54","58383  >  443 [ACK] Seq=3354 Ack=49446 Win=65280 Len=0","","0x010"
"71","0.333365","185.15.59.224","10.100.102.162","TCP","1506","443  >  58383 [PSH, ACK] Seq=49446 Ack=2526 Win=42496 Len=1452 [TCP PDU reassembled in 73]","","0x018"
