"No.","Time","Source","Destination","Protocol","Length","Info","TLS server name","Flags"
"427","2.972933","206.247.43.169","10.9.14.244","UDP","704","8801  >  63404 Len=662","",""
"428","2.972933","206.247.43.169","10.9.14.244","UDP","704","8801  >  63404 Len=662","",""
"429","2.972933","206.247.43.169","10.9.14.244","UDP","704","8801  >  63404 Len=662","",""
"430","3.003926","206.247.43.169","10.9.14.244","UDP","808","8801  >  63404 Len=766","",""
"431","3.003926","206.247.43.169","10.9.14.244","UDP","808","8801  >  63404 Len=766","",""
"432","3.004180","10.9.14.244","206.247.43.169","UDP","69","54409  >  8801 Len=27","",""
"433","3.024767","10.9.14.244","206.247.43.169","UDP","146","63406  >  8801 Len=104","",""
"434","3.024804","10.9.14.244","206.247.43.169","UDP","320","63404  >  8801 Len=278","",""
"435","3.045059","206.247.43.169","10.9.14.244","UDP","675","8801  >  63404 Len=633","",""
"436","3.045059","206.247.43.169","10.9.14.244","UDP","674","8801  >  63404 Len=632","",""
"437","3.045059","206.247.43.169","10.9.14.244","UDP","674","8801  >  63404 Len=632","",""
"438","3.045059","206.247.43.169","10.9.14.244","UDP","674","8801  >  63404 Len=632","",""
"439","3.055154","10.9.14.244","206.247.43.169","UDP","69","54409  >  8801 Len=27","",""
"440","3.076302","206.247.43.169","10.9.14.244","UDP","674","8801  >  63404 Len=632","",""
"441","3.076302","206.247.43.169","10.9.14.244","UDP","836","8801  >  63404 Len=794","",""
"442","3.076302","206.247.43.169","10.9.14.244","UDP","835","8801  >  63404 Len=793","",""
"443","3.086734","206.247.43.169","10.9.14.244","UDP","544","8801  >  63404 Len=502","",""
"444","3.093716","206.247.43.169","10.9.14.244","TCP","56","443  >  63136 [ACK] Seq=524 Ack=1002 Win=16 Len=0","","0x010"
"445","3.106848","206.247.43.169","10.9.14.244","UDP","544","8801  >  63404 Len=502","",""
"446","3.106848","206.247.43.169","10.9.14.244","UDP","544","8801  >  63404 Len=502","",""
"447","3.106848","206.247.43.169","10.9.14.244","UDP","543","8801  >  63404 Len=501","",""
"448","3.106848","206.247.43.169","10.9.14.244","UDP","543","8801  >  63404 Len=501","",""
"449","3.106980","10.9.14.244","206.247.43.169","UDP","69","54409  >  8801 Len=27","",""
"450","3.112111","10.9.14.244","206.247.43.169","UDP","94","63404  >  8801 Len=52","",""
"451","3.112147","10.9.14.244","206.247.43.169","UDP","346","63404  >  8801 Len=304","",""
"452","3.119993","10.9.14.244","206.247.43.169","UDP","142","63406  >  8801 Len=100","",""
"453","3.147982","206.247.43.169","10.9.14.244","UDP","1029","8801  >  63404 Len=987","",""
"454","3.157751","10.9.14.244","206.247.43.169","UDP","69","54409  >  8801 Len=27","",""
"455","3.166432","10.9.14.244","206.247.43.169","TLSv1.2","136","Application Data","","0x018"
"456","3.168770","206.247.43.169","10.9.14.244","UDP","559","8801  >  63404 Len=517","",""
"457","3.168770","206.247.43.169","10.9.14.244","UDP","559","8801  >  63404 Len=517","",""
"458","3.168770","206.247.43.169","10.9.14.244","UDP","559","8801  >  63404 Len=517","",""
"459","3.169188","10.9.14.244","206.247.43.169","UDP","146","63404  >  8801 Len=104","",""
"460","3.180624","206.247.43.169","10.9.14.244","UDP","185","8801  >  63404 Len=143","",""
"461","3.212610","206.247.43.169","10.9.14.244","UDP","897","8801  >  63404 Len=855","",""
"462","3.212610","206.247.43.169","10.9.14.244","UDP","890","8801  >  63404 Len=848","",""
"463","3.212723","10.9.14.244","206.247.43.169","UDP","69","54409  >  8801 Len=27","",""
"464","3.220873","206.247.43.169","10.9.14.244","UDP","589","8801  >  63404 Len=547","",""
"465","3.220873","206.247.43.169","10.9.14.244","UDP","589","8801  >  63404 Len=547","",""
"466","3.221268","10.9.14.244","206.247.43.169","UDP","307","63404  >  8801 Len=265","",""
"467","3.225286","10.9.14.244","206.247.43.169","UDP","190","63406  >  8801 Len=148","",""
"468","3.240730","206.247.43.169","10.9.14.244","UDP","589","8801  >  63404 Len=547","",""
"469","3.240730","206.247.43.169","10.9.14.244","UDP","589","8801  >  63404 Len=547","",""
"470","3.240730","206.247.43.169","10.9.14.244","UDP","589","8801  >  63404 Len=547","",""
"471","3.244868","10.9.14.244","206.247.43.169","UDP","221","63406  >  8801 Len=179","",""
"472","3.251136","206.247.43.169","10.9.14.244","UDP","783","8801  >  63404 Len=741","",""
"473","3.265213","10.9.14.244","206.247.43.169","UDP","252","63406  >  8801 Len=210","",""
"474","3.274985","10.9.14.244","206.247.43.169","UDP","76","54409  >  8801 Len=34","",""
"475","3.280266","10.9.14.244","206.247.43.169","UDP","291","63406  >  8801 Len=249","",""
